state_fips,state_name,mask_policy_start,mask_policy_end,conditions,student_assignment,validation,source,notes/discrepancies
17,ILLINOIS  ,5/1/2020,,all public places,Zoe Guo,correct,https://www.bnd.com/news/coronavirus/article242231751.html,"Beginning on May 1, individuals will be required to wear a face-covering or a mask when in a public place where they can’t maintain a six-foot social distance. Face-coverings will be required in public indoor spaces, such as stores. This new requirement applies to all individuals over the age of two who are able to medically tolerate a face-covering or a mask."
18,INDIANA  ,7/27/2020,8/26/2020,all public places,Casey Wu,correct,https://www.in.gov/gov/files/Executive%20Order%2020-37%20Face%20Covering%20Requirement.pdf,"8 years old and older shall wear face coverings inside indoor places open to the public (except private offices, private workspaces or meetings in which six feet of distancing can be achieved), in outdoor public spaces that cannot meet this social distancing requirement and inside public transportation. Exceptions: Food consumption, faculty and staff with social distancing, people practicing exercises and people with medical conditions that prevent them from wearing facial protection."
19,IOWA  ,,,,Casey Wu,changes made,https://idph.iowa.gov/Portals/1/userfiles/7/COVID-19%20Guidance%20for%20Cloth%20Face%20Coverings4_6_20.pdf,The governor said counties do not have the right to enforce anyone to wear masks
20,KANSAS  ,7/3/2020,,all public places,Oscar Tao,changes made,"https://www.kansas.com/news/politics-government/article244091222.html
Update: https://www.kansas.com/news/politics-government/article245559740.html","Exceptions: Children under 8 years; Parishes in the state without a high positivity rate,  but only  3 are qualified yet.
update: The council voted 5-2 to extend the mask mandate until Oct. 21 or until the COVID threat drops below the green threshold and the countywide positive test rate drops below 5 percent, whichever comes first."
21,KENTUCKY  ,7/10/2020,,all public places,Oscar Tao,correct,https://www.wtvq.com/2020/07/10/gov-beshear-hopes-people-will-self-regulate-mandated-masks/,Exceptions: Children under 5 or younger; Any person with disability/impairment;sepecial working circumstances. Extended twice - set to expire in Oct
22,LOUISIANA  ,7/13/2020,,all public places,Mary Blair,changes made,https://gov.louisiana.gov/index.cfm/newsroom/detail/2591,"The order has been extended in August 6th; Provision that stated that parishes with a COVID-19 incidence of fewer than 100 cases per 100,000 people for the most recent two-week period for which data is available could choose to opt out of the mandate, was removed."
23,MAINE  ,04/29/2020,,all public places,Mary Blair,changes made,https://www.maine.gov/governor/mills/sites/maine.gov.governor.mills/files/inline-files/An%20Order%20to%20Stay%20Safer%20at%20Home.pdf,"The first mask order identifies public settings as: indoor spaces that are accessible to the public such as grocery stores, retail stores, pharmacies and health care facilities; outdoor spaces such as playgrounds, busy parking lots, and other areas such as lines for take-out service where the public typically gathers in a smaller area; and public transportation such as a taxi, Uber, Lyft, ride-sharing or similar service; ferry, bus, or train; and any semi-enclosed transit stop or waiting area.The policy has been strengthened on 05/29/2020, which requires wearing masks in large gatherings; It has been strengthened again on 07/08/2020, which applies for coastal cities in Maine https://www.newscentermaine.com/article/news/health/coronavirus/mills-signs-executive-order-mandating-mask-enforcement-extends-state-of-emergency-through-august-6/97-288108be-187f-44a0-9cd8-98185ac56fedThe "
24,MARYLAND  ,4/18/2020,,retail only,Zachary Cohen,correct,https://governor.maryland.gov/wp-content/uploads/2020/04/Masks-and-Physical-Distancing-4.15.20.pdf,
25,MASSACHUSETTS  ,5/6/2020,,all public places,Zachary Cohen,,https://www.mass.gov/news/wear-a-mask-in-public,
26,MICHIGAN  ,4/27/2020,,all public places,Lu Chen,correct,https://www.wzzm13.com/article/news/health/coronavirus/masks-worn-michigan-order/69-2920685e-5759-4862-9897-dce968f1f0e7,"The state strengthened its executive order on masks on 07/17/2020; Limits: masks are not required for those younger than five years old, for those who are unable to medically tolerate the wearing of a mask, or when eating, drinking, exercising and when temporary removal of the mask is essential to perform a service."
27,MINNESOTA  ,7/25/2020,,all public places,Lu Chen,correct,https://minnesota.cbslocal.com/2020/07/22/coronavirus-mn-statewide-mask-mandate-in-minnesota-will-begin-saturday/,official source: https://www.leg.state.mn.us/archive/execorders/20-81.pdf
28,MISSISSIPPI  ,,,,Nish Chankar,changes made,https://htv-prod-media.s3.amazonaws.com/files/eo-1507-1594644211.pdf,"The order in Mississippi is ""not state-wide,"" it only targets counties with the most worrisome spikes in COVID-19 cases. In July 13, the order was only executed in 13 counties, and in July 20, 10 more counties were added"
29,MISSOURI  ,,,,Nish Chankar,correct,https://themissouritimes.com/where-are-masks-required-in-missouri/,No state mandate as of 07/25/2020
30,MONTANA  ,07/15/2020,the end of the statewide declaration of emergency,all public places,Claire Hemmerly,changes made,https://dphhs.mt.gov/aboutus/news/2020/directiverequiringfacecoverings,"Public indoor spaces, at outdoor gatherings of 50 or more people, only in counties with four or more active cases. "
DP,NEBRASKA  ,,,all public places,Zhuoran Bai,changes made,http://netnebraska.org/article/news/1229386/no-mask-mandate-omaha-after-douglas-county-and-ags-office-disagree-authority,"No state mandate as of 07/25/2020, however experts hope residents still wear masks in public."
32,NEVADA  ,6/25/2020,,all public places,Jess Donada,correct,http://gov.nv.gov/News/Press/2020/Gov__Sisolak_announces_mandatory_face_covering_policy_in_public/,"Mandate issued on 06/24, took effect on 06/25 at 11:59 pm"
33,NEW HAMPSHIRE ,8/11/2020,,all public places,Qingzhuo Han,changes made,https://www.governor.nh.gov/sites/g/files/ehbemt336/files/documents/emergency-order-63.pdf,No state mandate as of 07/25/2020
34,NEW JERSEY ,4/8/2020,,all public places,Yvonne Jin,,https://www.nj.com/news/2020/04/njs-new-coronavirus-rules-for-grocery-shopping-masks-store-limits-everything-you-need-to-know.html,4/8: indoor public places 7/8: also include outdoor public places
35,NEW MEXICO ,5/16/2020,,all public places,Yuqing Cheng,correct,https://www.lcsun-news.com/story/news/local/new-mexico/2020/05/14/coronavirus-new-mexico-requires-face-masks-public-what-to-know/5194447002/,Require mask wearing while exercising on July 13(https://www.lcsun-news.com/story/news/2020/07/10/new-mexico-health-order-starts-july-13-covid-19-coronavirus/5414450002/)；Announce $100 Fines on July 1(https://www.krqe.com/health/coronavirus-new-mexico/law-enforcement-defer-to-state-police-to-cite-those-not-wearing-masks-in-new-mexico/)
36,NEW YORK,4/17/2020,,all public places,Lucas Liu,correct,https://www1.nyc.gov/assets/doh/downloads/pdf/imm/covid-19-face-covering-faq.pdf,An update on July 9 - guidance on penalties (https://regs.health.ny.gov/sites/default/files/pdf/emergency_regulations/Enforcement%20of%20Social%20Distancing%20Measures.pdf) ; a mask requirement since April 17. Gov. Andrew Cuomo's order applies to anyone over age 2 who can “medically tolerate a face covering” when in a public place and unable to maintain social distancing. 
37,NORTH CAROLINA ,6/26/2020,10/2/2020,all public places,Jonathan Huang,changes made,https://files.nc.gov/governor/documents/files/EO163-New-Phase-2.5.pdf,"ordered in June 24, took effect on June 26 in all public spaces. Latest Executive order has extended end date. Only buisnesses or organizations can be cited. Law enforcement not authorized to criminally enforce the mandate, unless a person refuses to wear a mask into the buisness and refuses to leave, then trespasssing laws apply."
38,NORTH DAKOTA ,,,,Xiangting Fu,correct,https://www.inforum.com/newsmd/coronavirus/6651764-Burgum-says-masks-are-essential-but-dismisses-mandate-for-North-Dakota,"No state mandate as of 09/08/2020, but Gov. Doug Burgum reiterated that the state is on the right path by putting confidence in residents to make decisions on masks for themselves."
39,OHIO  ,7/10/2020,,all public places,Yingshu Zhang,changes made,https://www.dispatch.com/news/20200722/coronavirus-in-ohio-gov-mike-dewine-issues-statewide-mask-order,"Ye Zhao: Before the state-wide mandate, counties at level-three public emergency had mask mandates.  I made a table about these county names announced by the governor. Meanwhile, several counties had their own mandates before announced as red level-3."
40,OKLAHOMA  ,5/16/2020,,all public places,Likai Hu,changes made,https://www.axios.com/states-face-coverings-mandatory-a0e2fe35-5b7b-458e-9d28-3f6cdb1032fb.html,"Ronghua: I believe a statewide mask mandate is resisted recently. So, no state-level mandate exists. The news you read is about Oklahoma City, not state. Here are the sources for my info: https://www.latimes.com/world-nation/story/2020-07-15/oklahomas-governor-says-he-has-tested-positive-for-covid-19
Chengyang: Agree with Ronghua's comments. Currently there is no statewide order in Oklahoma, so just suggest we revise the results filled in former cells"
41,OREGON  ,7/1/2020,,all public places,Ziyang Wang,,https://www.oregon.gov/newsroom/Pages/NewsDetail.aspx?newsid=36869,"Ronghua: I believe the earliest mask mandate start on June 25, although it only targeted on the business section. Check the sources for more info: https://www.oregon.gov/newsroom/Pages/NewsDetail.aspx?newsid=36869        https://www.oregon.gov/newsroom/Pages/NewsDetail.aspx?newsid=36940"
42,PENNSYLVANIA  ,04/15/2020,,retail only,Jia Gao,changes made,https://www.governor.pa.gov/wp-content/uploads/2020/07/20200701-SOH-Universal-Face-Coverings-Order.pdf,Jia Gao: Masks are mandatory in all public places of Pennsylvania since Jul. 3rd: https://www.facebook.com/pennsylvaniadepartmentofhealth/posts/2563265067317697
44,RHODE ISLAND ,4/18/2020,,all public places,Weixuan Ran,correct,https://governor.ri.gov/documents/orders/Executive-Order-20-24.pdf,"A state-wide mask mandate first went into effect on April 18, though it was only targeted at business employees and their customers: https://governor.ri.gov/documents/orders/Executive-Order-20-24.pdf. It was later expanded to all persons in public spaces; this went into effect on May 8: https://governor.ri.gov/documents/orders/Executive-Order-20-30.pdf. The state-wide mask mandate for all persons was then extended twice: once until July 4, and again until August 2. https://governor.ri.gov/documents/orders/Executive-Order-20-41.pdf https://governor.ri.gov/documents/orders/Executive-Order-20-52.pdf"
45,SOUTH CAROLINA ,8/3/2020,,other,Meng Shao,changes made,https://governor.sc.gov/sites/default/files/Documents/2020-08-02%20eFILED%20Executive%20Order%20No.%202020-50%20-%20Initiating%20Additional%20Emergency%20Measures%20&%20Consolidating%20Previous%20Orders.pdf,"A state-wide emergency requirement regarding face coverings took effect on August 3 in accordance with CDC and DHEC guidelines. However, it is a limited mask requirement across the state which only applied to part of the places and public settings, mostly indoor public places including all restaurants, entertainment venues, and government buildings. "
46,SOUTH DAKOTA ,,,,Eve / Yunhan Li,correct,https://covid.sd.gov/docs/COVID_SDPlan_BackToNormal.pdf,"No state-wide mask mandate in place as of September 8, 2020. Masks have never been required, but South Dakotans are encouraged to continue to consider CDC guidance and use."
47,TENNESSEE  ,,,,Joy Zhu,changes made,https://www.wkrn.com/community/health/coronavirus/governor-lee-grants-mayors-in-89-counties-authority-to-issue-mask-requirements/,07/03: Grant county mayors in 89 counties the authority to issue local mask requirements / 7/27: Governor refuses to close down public spaces i.e. bars and indoor restaurant dining despite White House orders and not considering to enact a statewide mandate 
48,TEXAS  ,07/03/20,,all public places,Sofia Miranda-Fred,correct,https://open.texas.gov/uploads/files/organization/opentexas/EO-GA-29-use-of-face-coverings-during-COVID-19-IMAGE-07-02-2020.pdf,Unless county has county has 20 or less active cases https://www.wfaa.com/article/news/health/coronavirus/heres-where-masks-are-and-arent-required-under-texas-face-covering-mandate/287-70556e9c-955e-4462-8b53-e73baa9f7fc0 / 7/24: Texas governor defends state mandate 
49,UTAH  ,07/10/20,07/24/20,all public places,Kelsie Johnson,,https://drive.google.com/file/d/1e2Vn-P0PUUXSUORu_eoRxqf22R2FI-0z/view,Specific to state facilities. A later mandate signed on July 17 expanded it to K-12 public schools: https://drive.google.com/file/d/1gNsoR0BYsQXM8MgvG9oWHpNn6KO9NKcK/view
50,VERMONT  ,08/01/20,,all public places,Wei Zheng,,https://governor.vermont.gov/sites/scott/files/documents/ADDENDUM%202%20TO%20AMENDED%20AND%20RESTATED%20EXECUTIVE%20ORDER%20NO.%2001-20.pdf, Masks or Cloth Facial Coverings Required in Public Wherever Close Contact is Unavoidable (New Announcement on 07/24/2020). ADDED BY: Jiqing Shi.
51,VIRGINIA  ,5/29/2020,,all public places,Mengxi Qu,correct,https://www.vdh.virginia.gov/coronavirus/cloth-face-covers/,"As of July 14, 2020, they are trying to enforcement but the mandate was put into place since May. "
53,WASHINGTON  ,6/26/2020,,all public places,Yongkang Li,correct,https://coronavirus.wa.gov/information-for/you-and-your-family/face-masks-or-cloth-face-covering,Mixed indoor and outdoor. All individuals to wear a face covering in any indoor public setting or when outdoors and unable to maintain 6 feet of physical distance from others.
54,WEST VIRGINIA ,7/7/2020,,retail only,Aparna Ramanujam,correct,https://governor.wv.gov/News/press-releases/2020/Pages/COVID-19-UPDATE-Gov.-Justice-announces-statewide-indoor-face-covering-requirement.aspx,All West Virginians age 9 and older to wear a face covering at all indoor public places where six feet of social distancing cannot be maintained.
55,WISCONSIN  ,8/1/2020,,all public places,Shivanshi Malhotra,changes made,https://evers.wi.gov/Documents/COVID19/EmO01-FaceCoverings.pdf,previous note(Governor has suggested he might try to require Wisconsin residents to wear face masks but said it's unclear whether it would stick after a state Supreme Court ruling in May that tossed out much of his stay-at-home order and put his authority to issue statewide orders in question)
56,WYOMING  ,,,,Sid Shah,correct,https://www.wyofile.com/week-17-the-pandemic-in-wyoming-from-july-5-10/,Some regions including Jackson and Xanterra have mandates in place
